[2025-05-22T10:41:53.552+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:41:58.585+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:03.613+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:08.634+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:13.665+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:18.692+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:23.718+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:28.740+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:33.765+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:38.778+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:43.801+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:48.826+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:53.856+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:42:58.888+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:03.919+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:08.949+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:13.979+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:19.007+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:24.116+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:29.141+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:34.174+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:39.202+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:44.231+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:49.255+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:54.285+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:43:59.308+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:04.328+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:09.356+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:14.380+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:19.399+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:24.413+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:29.441+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:34.468+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:39.494+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:44.515+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:49.544+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:54.575+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:44:59.596+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:04.627+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:09.658+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:14.676+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:19.693+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:24.713+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:29.736+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:34.755+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
