[2025-05-22T10:29:58.646+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.657+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.669+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.679+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.689+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.701+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.712+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.724+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.735+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.747+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.757+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.769+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.780+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.792+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.804+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.816+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.827+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.837+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.847+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.858+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.870+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.880+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.890+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.902+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.913+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.925+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.937+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.948+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.960+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.972+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.984+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.995+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.005+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.018+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.030+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.042+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.051+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.059+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.067+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.074+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.082+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.090+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.100+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.110+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.119+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.127+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.136+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.162+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.170+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.178+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.186+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.194+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.201+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.209+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.217+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.225+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.233+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.243+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.251+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.260+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.268+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.278+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.288+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.299+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.309+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.316+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.325+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.334+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:59.342+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.350+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.358+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.367+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:59.375+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
